date,close,open,high,low,pre_close,change,pct_chg,volume,amount
"20221104","5026.4088","4846.3895","5047.7626","4846.3895","4841.4636","184.9452","3.82","45713313","141330170"
"20221103","4841.4636","4833.6084","4870.3725","4810.8944","4883.9896","-42.526","-0.8707","29952317","88460699.5"
"20221102","4883.9896","4799.3813","4922.9219","4791.0662","4814.7391","69.2505","1.4383","41923390","122737338"
"20221101","4814.7391","4657.3479","4814.7391","4649.1015","4641.6364","173.1027","3.7293","42324812","122996627.5"
"20221031","4641.6364","4612.8284","4702.6909","4607.6642","4664.9478","-23.3114","-0.4997","41529107","109440780.1"
"20221028","4664.9478","4774.289","4792.3643","4652.3333","4811.2227","-146.2749","-3.0403","35842891","108251056.1"
"20221027","4811.2227","4873.302","4884.2568","4811.1554","4861.8583","-50.6356","-1.0415","35826986","113553163.7"
"20221026","4861.8583","4817.843","4920.04","4811.9075","4798.1515","63.7068","1.3277","37633361","108941834.9"
"20221025","4798.1515","4804.4522","4860.9895","4750.4609","4824.6031","-26.4516","-0.5483","34000104","96396065.1"
"20221024","4824.6031","4945.7055","4991.3377","4799.942","4963.5052","-138.9021","-2.7985","34620861","104315036.6"
"20221021","4963.5052","4979.8601","5000.6097","4938.9036","4988.6001","-25.0949","-0.503","24125001","72513983"
"20221020","4988.6001","4985.6094","5060.9857","4933.7129","5027.5118","-38.9117","-0.774","27623596","87596047.8"
"20221019","5027.5118","5100.1856","5121.5739","5027.3053","5116.5847","-89.0729","-1.7409","26499996","85080297.5"
"20221018","5116.5847","5149.5795","5156.6086","5101.5152","5112.1513","4.4334","0.0867","29318252","87466768.3"
"20221017","5112.1513","5077.0874","5117.3252","5060.0213","5109.8339","2.3174","0.0454","34436266","100466401.1"
"20221014","5109.8339","5020.3915","5140.2943","5004.7772","4971.9037","137.9302","2.7742","37760024","116268234.9"
"20221013","4971.9037","4968.0588","5023.7323","4956.3969","5007.5458","-35.6421","-0.7118","29717245","82773996.1"
"20221012","5007.5458","4883.9746","5007.8385","4814.6555","4893.1479","114.3979","2.3379","37373617","96055468.4"
"20221011","4893.1479","4881.5254","4908.1336","4855.8551","4862.6048","30.5431","0.6281","23631053","75289408.2"
"20221010","4862.6048","4990.6088","4996.016","4854.323","4987.6879","-125.0831","-2.5078","26733405","80449981.8"
"20220930","4987.6879","5056.8077","5069.2929","4983.852","5049.1389","-61.451","-1.2171","23141314","73923243.1"
"20220929","5049.1389","5104.1899","5105.957","5024.7779","5043.4892","5.6497","0.112","24158358","72960247.7"
"20220928","5043.4892","5130.0466","5130.0466","5043.4892","5149.655","-106.1658","-2.0616","25126827","77593168.3"
"20220927","5149.655","5071.4633","5149.655","5043.6829","5053.2107","96.4443","1.9086","25839874","82908827.6"
"20220926","5053.2107","5008.9606","5126.8923","5004.8417","5047.0707","6.14","0.1217","26059982","84043634.8"
"20220923","5047.0707","5070.7932","5095.2538","4995.7614","5075.9613","-28.8906","-0.5692","24754228","74791337.5"
"20220922","5075.9613","5098.654","5135.6424","5067.5746","5141.2251","-65.2638","-1.2694","23228301","72935087.9"
"20220921","5141.2251","5180.7773","5181.1236","5117.7606","5201.1415","-59.9164","-1.152","25776002","76042413.9"
"20220920","5201.1415","5206.2692","5236.7478","5180.5113","5177.8438","23.2977","0.4499","24550226","87371953.1"
"20220919","5177.8438","5176.9079","5222.1861","5151.0084","5188.1997","-10.3559","-0.1996","28213282","84236707.5"
"20220916","5188.1997","5293.4589","5301.0379","5188.1997","5310.777","-122.5773","-2.3081","39549145","107050897.3"
"20220915","5310.777","5415.8354","5428.1888","5267.8564","5396.2064","-85.4294","-1.5831","36211021","118305476.6"
"20220914","5396.2064","5394.4335","5432.0631","5363.4768","5472.335","-76.1286","-1.3912","26192248","88120757.5"
"20220913","5472.335","5468.7018","5491.3344","5441.1121","5435.5268","36.8082","0.6772","29627126","93768045"
"20220909","5435.5268","5380.6596","5439.7127","5362.1498","5360.4339","75.0929","1.4009","31061165","93811294.5"
"20220908","5360.4339","5415.0082","5422.4089","5357.2349","5408.4546","-48.0207","-0.8879","25298148","82850695.2"
"20220907","5408.4546","5360.9464","5429.9575","5352.1238","5389.7641","18.6905","0.3468","28577299","97801003.9"
"20220906","5389.7641","5366.9494","5391.8899","5313.7747","5359.5597","30.2044","0.5636","31934330","108351561.9"
"20220905","5359.5597","5359.0829","5374.2641","5320.4017","5386.8807","-27.321","-0.5072","28318182","89520181.5"
"20220902","5386.8807","5434.3038","5437.7034","5357.7615","5409.4033","-22.5226","-0.4164","25820269","84508701.8"
"20220901","5409.4033","5443.8513","5494.6939","5403.0322","5461.0879","-51.6846","-0.9464","30024517","96654677.1"
"20220831","5461.0879","5454.968","5512.1151","5415.15","5488.3101","-27.2222","-0.496","39143559","135769636"
"20220830","5488.3101","5510.4612","5518.6805","5446.911","5513.1853","-24.8752","-0.4512","26629895","87027310.7"
"20220829","5513.1853","5488.7865","5536.5663","5473.7334","5550.8959","-37.7106","-0.6794","26641195","91796025.9"
"20220826","5550.8959","5594.9683","5616.1393","5542.6132","5573.7226","-22.8267","-0.4095","29633650","104582523.3"
"20220825","5573.7226","5581.2667","5596.8739","5502.2405","5567.0096","6.713","0.1206","31655152","108841913.4"
"20220824","5567.0096","5738.447","5743.8157","5561.2875","5720.0499","-153.0403","-2.6755","37770655","128097160.7"
"20220823","5720.0499","5736.4439","5762.3888","5697.5456","5745.5885","-25.5386","-0.4445","32110185","110256609.1"
"20220822","5745.5885","5657.9829","5749.2088","5650.3571","5677.5673","68.0212","1.1981","35817717","121043571.7"
"20220819","5677.5673","5726.0666","5733.7304","5675.9662","5732.635","-55.0677","-0.9606","39237086","119475041.2"
"20220818","5732.635","5770.1907","5780.3321","5724.6819","5788.1413","-55.5063","-0.959","31275273","108044720"
"20220817","5788.1413","5709.7419","5795.3897","5671.3816","5704.9065","83.2348","1.459","38341516","123284006.7"
"20220816","5704.9065","5716.9573","5752.835","5691.6573","5710.6301","-5.7236","-0.1002","28803744","106026856.2"
"20220815","5710.6301","5681.6606","5759.25","5680.6207","5693.7319","16.8982","0.2968","33400368","116905719.9"
"20220812","5693.7319","5705.4906","5716.0887","5679.1429","5715.0998","-21.3679","-0.3739","30836031","93599867.4"
"20220811","5715.0998","5620.2069","5717.0047","5588.6146","5588.5492","126.5506","2.2645","42240945","125293066.9"
"20220810","5588.5492","5646.1196","5655.9569","5559.6307","5655.389","-66.8398","-1.1819","25441658","97982427.3"
"20220809","5655.389","5632.3231","5666.0954","5612.5759","5644.3717","11.0173","0.1952","25283960","96089816.9"
"20220808","5644.3717","5631.4664","5660.8355","5623.3275","5653.7817","-9.41","-0.1664","26923465","100012306.4"
"20220805","5653.7817","5582.5198","5656.8729","5563.1858","5575.1917","78.59","1.4096","32089427","110637558.4"
"20220804","5575.1917","5568.4363","5594.2999","5516.7854","5535.9191","39.2726","0.7094","26209542","94960940.8"
"20220803","5535.9191","5632.4749","5694.1782","5518.2353","5617.6864","-81.7673","-1.4555","36896674","123508425.3"
"20220802","5617.6864","5654.2868","5680.77","5566.2462","5728.5012","-110.8148","-1.9344","43853343","131041137"
"20220801","5728.5012","5644.895","5737.4548","5602.9656","5656.3646","72.1366","1.2753","33685438","121254075.6"
"20220729","5656.3646","5750.2515","5760.6768","5645.7812","5745.0022","-88.6376","-1.5429","34693055","118599803.4"
"20220728","5745.0022","5768.6187","5813.5715","5737.8892","5738.0318","6.9704","0.1215","37294325","114542291.1"
"20220727","5738.0318","5748.7714","5768.4403","5715.3086","5763.3321","-25.3003","-0.439","24100727","88489763.9"
"20220726","5763.3321","5723.5922","5788.7209","5709.7913","5713.5063","49.8258","0.8721","25235631","88917918.4"
"20220725","5713.5063","5741.9867","5749.0978","5692.3178","5751.8522","-38.3459","-0.6667","26128973","87586622"
"20220722","5751.8522","5795.4613","5823.3095","5703.6167","5766.0083","-14.1561","-0.2455","31678399","103044574.8"
"20220721","5766.0083","5809.1773","5838.2094","5766.0083","5826.5296","-60.5213","-1.0387","32892830","107280065.7"
"20220720","5826.5296","5846.2349","5872.9249","5802.4738","5814.7558","11.7738","0.2025","28384038","97187416"
"20220719","5814.7558","5852.0353","5857.0944","5774.7714","5859.5339","-44.7781","-0.7642","29911854","107943327.8"
"20220718","5859.5339","5850.6584","5881.7902","5752.8956","5827.9115","31.6224","0.5426","36294396","132886772.2"
"20220715","5827.9115","5901.2909","5964.9555","5827.9115","5919.8767","-91.9652","-1.5535","42883844","145782143.6"
"20220714","5919.8767","5867.5719","5968.9245","5852.5867","5886.6183","33.2584","0.565","36173137","136776706.8"
"20220713","5886.6183","5846.601","5912.7569","5785.8062","5842.5912","44.0271","0.7536","35738553","139245142.8"
"20220712","5842.5912","5925.1852","5953.0102","5808.713","5924.6027","-82.0115","-1.3843","35807074","143298161.1"
"20220711","5924.6027","6011.5492","6011.5492","5876.8517","6045.0567","-120.454","-1.9926","38642706","140974504.7"
"20220708","6045.0567","6102.0197","6125.5659","6038.2845","6073.5849","-28.5282","-0.4697","42146082","150389770.5"
"20220707","6073.5849","6023.1298","6084.0564","5975.3461","6010.321","63.2639","1.0526","48781801","167910470.3"
"20220706","6010.321","6066.1954","6104.0988","5961.745","6084.0689","-73.7479","-1.2121","41336467","155165844.5"
"20220705","6084.0689","6121.545","6162.2523","6000.3702","6107.5123","-23.4434","-0.3838","46940128","169148810.3"
"20220704","6107.5123","6001.575","6107.7053","5982.0613","6034.5737","72.9386","1.2087","45888484","167624016.9"
"20220701","6034.5737","6055.7654","6079.0798","6002.3827","6051.9737","-17.4","-0.2875","42807466","143402966.8"
"20220630","6051.9737","5953.0757","6090.6471","5953.0757","5950.0595","101.9142","1.7128","49186595","160555293.8"
"20220629","5950.0595","6054.4843","6100.8234","5941.4574","6083.4184","-133.3589","-2.1922","57185429","184549150.3"
"20220628","6083.4184","6010.938","6096.7914","5953.5576","6012.5598","70.8586","1.1785","52246930","166964898.9"
"20220627","6012.5598","5957.9948","6056.5728","5957.0341","5931.5404","81.0194","1.3659","49453163","173667221.4"
"20220624","5931.5404","5864.8642","5931.5404","5837.4809","5843.1209","88.4195","1.5132","42618463","155814883.3"
"20220623","5843.1209","5743.5532","5843.1209","5693.3644","5727.7561","115.3648","2.0141","40172779","144115611.4"
"20220622","5727.7561","5818.2778","5822.8871","5724.9576","5811.0854","-83.3293","-1.434","39081866","132127905.9"
"20220621","5811.0854","5818.047","5862.6083","5754.7042","5821.9384","-10.853","-0.1864","42285895","139311527.2"
"20220620","5821.9384","5771.1013","5880.3382","5767.9042","5727.451","94.4874","1.6497","44409972","161299416.1"
"20220617","5727.451","5581.8973","5741.2453","5578.3315","5637.2732","90.1778","1.5997","45590404","153661404.7"
"20220616","5637.2732","5653.2437","5698.662","5616.8792","5648.4946","-11.2214","-0.1987","56111964","143005946.2"
"20220615","5648.4946","5578.3941","5745.6042","5570.4816","5560.8623","87.6323","1.5759","79246714","200644369.4"
"20220614","5560.8623","5481.5214","5563.5247","5392.3807","5548.3951","12.4672","0.2247","45940040","145125587.8"
"20220613","5548.3951","5533.8683","5587.6168","5495.3701","5592.2122","-43.8171","-0.7835","44052549","146246355.9"
"20220610","5592.2122","5450.4746","5596.2428","5447.1578","5482.6501","109.5621","1.9983","42735877","135745615.6"
"20220609","5482.6501","5573.7886","5581.1411","5467.0301","5590.2169","-107.5668","-1.9242","40029782","117389202.3"
"20220608","5590.2169","5539.9635","5590.2169","5487.039","5530.4079","59.809","1.0815","43311941","146412237"
"20220607","5530.4079","5523.182","5567.9584","5496.7361","5527.1104","3.2975","0.0597","39078061","120240598.2"
"20220606","5527.1104","5386.4404","5528.6779","5359.2052","5381.2804","145.83","2.7099","46929614","145320298.2"
"20220602","5381.2804","5330.206","5385.7462","5322.3965","5362.3502","18.9302","0.353","32076081","99846404.8"
"20220601","5362.3502","5346.8594","5382.2296","5321.8418","5351.8978","10.4524","0.1953","35154690","105269117.5"
"20220531","5351.8978","5241.4881","5360.0757","5217.5862","5238.9556","112.9422","2.1558","41687349","120698396.7"
"20220530","5238.9556","5214.4821","5256.9013","5191.9076","5188.667","50.2886","0.9692","31744091","92352144.2"
"20220527","5188.667","5239.0936","5287.7684","5163.3647","5187.6749","0.9921","0.0191","31586400","89547471"
"20220526","5187.6749","5174.9989","5228.8873","5097.1952","5172.2437","15.4312","0.2983","37058008","94059049.8"
"20220525","5172.2437","5151.5971","5177.8372","5116.8958","5152.8091","19.4346","0.3772","27652689","80063596.4"
"20220524","5152.8091","5296.369","5296.369","5152.7543","5307.0468","-154.2377","-2.9063","40340838","106011106"
"20220523","5307.0468","5342.7703","5348.4456","5262.5267","5345.2404","-38.1936","-0.7145","36212197","98455640.9"
"20220520","5345.2404","5276.3019","5347.5667","5268.7238","5242.6628","102.5776","1.9566","44693978","115069161.4"
"20220519","5242.6628","5153.7071","5242.6628","5146.0713","5233.23","9.4328","0.1802","34504409","91367110.4"
"20220518","5233.23","5262.2506","5274.1754","5199.2706","5251.3938","-18.1638","-0.3459","31737115","90017260.5"
"20220517","5251.3938","5170.2859","5253.7146","5162.7145","5168.0977","83.2961","1.6117","32604694","98433664.7"
"20220516","5168.0977","5258.7097","5280.2774","5158.6466","5210.2255","-42.1278","-0.8086","32454839","88550443.1"
"20220513","5210.2255","5221.3128","5238.0286","5158.4252","5181.6233","28.6022","0.552","32156184","88653416.6"
"20220512","5181.6233","5160.6452","5223.0542","5146.5623","5203.078","-21.4547","-0.4123","31475216","88649542.3"
"20220511","5203.078","5091.7499","5301.5916","5088.4373","5088.4769","114.6011","2.2522","50556901","142884657.6"
"20220510","5088.4769","4943.835","5107.1582","4918.9175","5024.4707","64.0062","1.2739","35191125","100977535.3"
"20220509","5024.4707","5036.8409","5093.573","4992.3322","5078.7277","-54.257","-1.0683","24626064","73599764.4"
"20220506","5078.7277","5077.3663","5126.396","5066.7767","5204.45","-125.7223","-2.4157","35020834","93135713.3"
"20220505","5204.45","5166.3048","5254.9227","5143.4697","5230.2923","-25.8423","-0.4941","42788177","134794686.6"
"20220429","5230.2923","5104.3066","5231.917","5037.2559","5059.3435","170.9488","3.3789","49539855","145703151.3"
"20220428","5059.3435","5042.2335","5107.4695","4997.8611","5053.9976","5.3459","0.1058","38907576","112141991.2"
"20220427","5053.9976","4804.5183","5053.9976","4803.303","4858.0719","195.9257","4.033","47021794","127181785.2"
"20220426","4858.0719","4915.4603","4997.0933","4844.624","4902.3965","-44.3246","-0.9041","41237390","106705944.9"
"20220425","4902.3965","5078.1304","5108.3893","4901.7956","5182.383","-279.9865","-5.4027","43029980","107902796.5"
"20220422","5182.383","5131.7678","5223.0772","5090.6984","5165.2973","17.0857","0.3308","33472090","88460017.4"
"20220421","5165.2973","5247.0401","5297.7637","5139.7514","5281.1161","-115.8188","-2.1931","37269093","99588472.3"
"20220420","5281.1161","5388.2646","5397.6467","5266.4776","5396.9074","-115.7913","-2.1455","30973652","97492087.9"
"20220419","5396.9074","5441.7828","5484.0428","5378.5421","5438.5189","-41.6115","-0.7651","29232768","89925438.9"
"20220418","5438.5189","5379.5398","5446.1929","5332.556","5422.1864","16.3325","0.3012","27590341","87207576.8"
"20220415","5422.1864","5394.3408","5462.1805","5364.2603","5442.6354","-20.449","-0.3757","28908673","98152722.1"
"20220414","5442.6354","5433.1793","5479.5377","5381.8211","5382.3629","60.2725","1.1198","31864707","108822742.9"
"20220413","5382.3629","5420.5071","5464.8693","5382.3629","5464.6954","-82.3325","-1.5066","28364907","88126342.2"
"20220412","5464.6954","5344.9442","5464.6954","5316.3624","5339.7057","124.9897","2.3408","36146782","104634403"
"20220411","5339.7057","5495.1974","5495.1974","5326.9465","5540.0557","-200.35","-3.6164","37371400","110825649.4"
"20220408","5540.0557","5534.1363","5558.7599","5469.5079","5527.4765","12.5792","0.2276","34860723","91648553.3"
"20220407","5527.4765","5571.1252","5626.4742","5523.9262","5608.8521","-81.3756","-1.4508","32866960","88496761.1"
"20220406","5608.8521","5635.8803","5655.865","5579.7011","5638.7096","-29.8575","-0.5295","35988520","95913337.8"
"20220401","5638.7096","5532.4845","5664.5582","5522.9845","5568.4898","70.2198","1.261","34325417","99715435.4"
"20220331","5568.4898","5602.2691","5611.5366","5551.839","5631.074","-62.5842","-1.1114","33414991","96778739.1"
"20220330","5631.074","5469.0037","5631.074","5467.9124","5428.2114","202.8626","3.7372","39113190","117362243"
"20220329","5428.2114","5462.9706","5498.6652","5410.7029","5447.6368","-19.4254","-0.3566","26575298","83303614"
"20220328","5447.6368","5471.8212","5497.6281","5408.2836","5523.5364","-75.8996","-1.3741","27393571","84093535.2"
"20220325","5523.5364","5653.9767","5653.9767","5523.5364","5651.4638","-127.9274","-2.2636","27351600","89345196.3"
"20220324","5651.4638","5653.9646","5686.4358","5585.5252","5689.8108","-38.347","-0.674","28813058","92555535.2"
"20220323","5689.8108","5677.7053","5700.8202","5633.0293","5645.875","43.9358","0.7782","29147064","89052523.6"
"20220322","5645.875","5668.1615","5686.5593","5624.0099","5678.6405","-32.7655","-0.577","30760605","88918870.6"
"20220321","5678.6405","5704.2161","5729.6602","5629.9136","5665.3089","13.3316","0.2353","36833772","109287471.7"
"20220318","5665.3089","5626.1938","5696.0681","5580.1536","5663.3716","1.9373","0.0342","36003359","112239542.4"
"20220317","5663.3716","5639.4888","5758.2048","5619.6602","5515.2316","148.14","2.686","50802008","172349699.5"
"20220316","5515.2316","5385.8054","5533.1382","5206.1514","5277.7663","237.4653","4.4994","53194561","164165575.1"
"20220315","5277.7663","5433.6003","5520.6725","5277.7663","5489.0801","-211.3138","-3.8497","49711087","138577370.6"
"20220314","5489.0801","5618.4371","5642.2008","5489.0801","5689.4162","-200.3361","-3.5212","34111806","104482652.4"
"20220311","5689.4162","5570.4885","5699.2163","5501.0298","5667.6991","21.7171","0.3832","40813686","126615072.9"
"20220310","5667.6991","5698.1394","5722.7195","5651.9716","5539.1146","128.5845","2.3214","40215396","129243407"
"20220309","5539.1146","5599.5065","5631.3118","5299.7345","5581.9891","-42.8745","-0.7681","49102748","141630966.3"
"20220308","5581.9891","5725.5634","5757.3611","5551.0421","5706.2152","-124.2261","-2.177","41796308","130825167.5"
"20220307","5706.2152","5884.4784","5884.4784","5686.4866","5946.7781","-240.5629","-4.0453","40116909","127533688.7"
"20220304","5946.7781","5981.1987","6036.4293","5922.3473","6040.5752","-93.7971","-1.5528","31920800","106141452"
"20220303","6040.5752","6138.924","6143.5896","6035.479","6114.5286","-73.9534","-1.2095","30239192","95382020.5"
"20220302","6114.5286","6165.725","6165.725","6078.9957","6207.4577","-92.9291","-1.4971","27606261","88315386.1"
"20220301","6207.4577","6196.0558","6211.7629","6156.987","6174.8746","32.5831","0.5277","33281945","111967556.5"
"20220228","6174.8746","6150.9949","6181.0521","6100.9618","6169.0737","5.8009","0.094","31162436","99836251.6"
"20220225","6169.0737","6146.1152","6222.4403","6146.1152","6081.9605","87.1132","1.4323","30726367","110474917.9"
"20220224","6081.9605","6169.4112","6206.8791","6014.8827","6219.8702","-137.9097","-2.2172","45050413","139916792.8"
"20220223","6219.8702","6122.588","6221.9982","6122.588","6108.4739","111.3963","1.8236","34415876","118324744.2"
"20220222","6108.4739","6153.5213","6153.5213","6069.4856","6199.9132","-91.4393","-1.4748","32733491","105960816"
"20220221","6199.9132","6220.0047","6236.3222","6170.3015","6221.5978","-21.6846","-0.3485","31741517","98113241.5"
"20220218","6221.5978","6172.1054","6222.6496","6161.9832","6215.4411","6.1567","0.0991","24370987","81202045"
"20220217","6215.4411","6183.1252","6246.1432","6166.4424","6187.5766","27.8645","0.4503","26629633","98859662.2"
"20220216","6187.5766","6198.3818","6227.0713","6172.3578","6172.1288","15.4478","0.2503","25507300","90433224.4"
"20220215","6172.1288","6068.9173","6173.4666","6067.7923","6060.5775","111.5513","1.8406","29608214","110981529.8"
"20220214","6060.5775","6078.6243","6131.1635","6022.4197","6113.2839","-52.7064","-0.8622","35898771","120227904.3"
"20220211","6113.2839","6165.6043","6228.0616","6104.8024","6204.2788","-90.9949","-1.4666","35004718","123460949.6"
"20220210","6204.2788","6274.6342","6274.8302","6156.3914","6269.6569","-65.3781","-1.0428","32516568","121453837"
"20220209","6269.6569","6182.4178","6276.3146","6156.0924","6183.37","86.2869","1.3955","33324943","113276043.8"
"20220208","6183.37","6278.7866","6279.873","6055.6314","6295.5916","-112.2216","-1.7825","33218470","121632947.7"
"20220207","6295.5916","6369.9541","6405.1812","6272.8482","6251.7341","43.8575","0.7015","32551578","114049733.9"
"20220128","6251.7341","6333.1217","6362.2944","6211.3845","6283.8598","-32.1257","-0.5112","30551040","118163524.8"
"20220127","6283.8598","6434.1305","6444.0838","6279.8064","6453.9329","-170.0731","-2.6352","30567654","107682715.2"
"20220126","6453.9329","6429.3285","6462.513","6348.454","6401.4146","52.5183","0.8204","27729351","100492226.3"
"20220125","6401.4146","6517.9773","6560.6691","6400.473","6553.4807","-152.0661","-2.3204","33891149","107124921.3"
"20220124","6553.4807","6478.7736","6575.2278","6468.8471","6521.0112","32.4695","0.4979","28798387","111714781.3"
"20220121","6521.0112","6568.1669","6596.6444","6495.1158","6597.7631","-76.7519","-1.1633","35587342","110001123.7"
"20220120","6597.7631","6537.2621","6629.986","6534.1441","6549.2081","48.555","0.7414","41029141","128405011.3"
"20220119","6549.2081","6649.6314","6669.5022","6509.1114","6646.0462","-96.8381","-1.4571","34521011","124094340.8"
"20220118","6646.0462","6611.0634","6664.1134","6571.3231","6609.2202","36.826","0.5572","33476683","115000450.4"
"20220117","6609.2202","6515.1356","6614.012","6512.601","6505.4449","103.7753","1.5952","31875396","116534812.4"
"20220114","6505.4449","6470.6818","6549.4493","6462.4734","6511.0667","-5.6218","-0.0863","35607593","112147308.6"
"20220113","6511.0667","6665.7397","6665.7397","6511.0553","6651.2901","-140.2234","-2.1082","34821341","119499126.3"
"20220112","6651.2901","6606.7161","6659.9738","6589.6953","6558.7082","92.5819","1.4116","33283616","129775017.7"
"20220111","6558.7082","6650.573","6662.4165","6550.8796","6652.8887","-94.1805","-1.4156","38232439","121186867.5"
"20220110","6652.8887","6605.9432","6669.7959","6549.1336","6628.3145","24.5742","0.3707","40641278","129911431.9"
"20220107","6628.3145","6659.1079","6687.8609","6620.1947","6643.7051","-15.3906","-0.2317","45173159","135986672.2"
"20220106","6643.7051","6677.4072","6710.5714","6589.7694","6726.9212","-83.2161","-1.2371","40027895","135372669.5"
"20220105","6726.9212","6816.6654","6827.3008","6701.5963","6840.0702","-113.149","-1.6542","49583837","165473579.5"
"20220104","6840.0702","6920.7076","6924.0547","6777.7523","6879.0877","-39.0175","-0.5672","43348526","154187025.9"
"20211231","6879.0877","6890.1297","6898.0267","6846.5225","6862.8098","16.2779","0.2372","34256249","118590489.4"
"20211230","6862.8098","6788.1698","6891.0337","6785.6053","6793.2938","69.516","1.0233","35593815","117236320.8"
