date,close,open,high,low,pre_close,change,pct_chg,volume,amount
"20221104","1072.8704","1048.8909","1077.4898","1048.8909","1048.0697","24.8007","2.3663","15534409","79527009.859"
"20221103","1048.0697","1028.4327","1055.1169","1027.0384","1037.1791","10.8906","1.05","14597022","76118262.392"
"20221102","1037.1791","1020.0743","1046.8232","1017.994","1024.5223","12.6568","1.2354","16917400","81747987.649"
"20221101","1024.5223","1011.964","1029.6428","1000.967","1010.3269","14.1954","1.405","15026220","71564077.168"
"20221031","1010.3269","991.8868","1022.2345","991.8868","993.7213","16.6056","1.6711","16546709","77376669.986"
"20221028","993.7213","996.6119","1015.4204","989.227","1004.9093","-11.188","-1.1133","14442282","70834060.609"
"20221027","1004.9093","1008.7056","1021.563","995.5518","1003.2544","1.6549","0.165","15104565","72737466.132"
"20221026","1003.2544","972.4514","1010.9808","963.3635","971.3335","31.9209","3.2863","14944917","71704252.473"
"20221025","971.3335","962.9727","984.4785","955.5696","969.4924","1.8411","0.1899","12032286","59056657.256"
"20221024","969.4924","967.5646","989.6479","960.6231","967.9801","1.5123","0.1562","13263780","62747445.198"
"20221021","967.9801","961.4834","972.8111","951.6716","963.9516","4.0285","0.4179","12339327","56998115.226"
"20221020","963.9516","944.1612","976.7116","938.3342","949.4981","14.4535","1.5222","13492214","65795802.736"
"20221019","949.4981","957.7333","963.1105","949.4981","959.9995","-10.5014","-1.0939","11824277","53369636.239"
"20221018","959.9995","964.9702","968.1267","952.9945","963.2239","-3.2244","-0.3348","13254453","59066105.579"
"20221017","963.2239","948.6421","964.9481","946.9386","954.9237","8.3002","0.8692","14404748","66314343.847"
"20221014","954.9237","936.4215","961.5047","925.9315","926.5203","28.4034","3.0656","13755285","62532097.94"
"20221013","926.5203","917.3966","942.8684","916.3668","924.9136","1.6067","0.1737","11210006","49018814.76"
"20221012","924.9136","890.2856","926.191","871.453","892.7394","32.1742","3.604","10789074","47861035.456"
"20221011","892.7394","898.3667","904.4706","889.4474","897.335","-4.5956","-0.5121","8002565","38268252.178"
"20221010","897.335","933.0209","934.9621","895.2032","939.3763","-42.0413","-4.4754","9226559","44637059.938"
"20220930","939.3763","956.4046","961.8853","937.8648","961.4745","-22.0982","-2.2984","8064603","34938533.823"
"20220929","961.4745","962.4481","970.1118","955.6069","956.1881","5.2864","0.5529","8817168","39256418.263"
"20220928","956.1881","973.4745","977.6638","955.32","976.4453","-20.2572","-2.0746","9450678","38121212.441"
"20220927","976.4453","963.488","976.4453","959.1965","961.8284","14.6169","1.5197","10265123","42069804.778"
"20220926","961.8284","955.0406","978.4942","952.1785","960.9396","0.8888","0.0925","10879005","40592618.971"
"20220923","960.9396","975.5775","984.1063","956.1147","975.8694","-14.9298","-1.5299","9223295","41107569.94"
"20220922","975.8694","964.959","986.4305","963.8883","970.3929","5.4765","0.5644","8075362","37964851.581"
"20220921","970.3929","980.621","983.7956","968.7099","985.151","-14.7581","-1.4981","8649923","37244799.736"
"20220920","985.151","982.3683","997.2182","977.2748","975.5474","9.6036","0.9844","7670276","38547530.763"
"20220919","975.5474","997.5257","1003.1509","970.8677","998.5182","-22.9708","-2.3005","9222551","44995900.217"
"20220916","998.5182","997.3582","1018.7151","997.3582","1000.0806","-1.5624","-0.1562","9295366","46181303.575"
"20220915","1000.0806","1035.7638","1037.6253","990.8531","1031.304","-31.2234","-3.0276","11337668","55344205.425"
