datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,label
2018-01-02,0.010348476,0.010567861,0.9792403,0.00021938565,0.020759702,0.0,0.0,0.0101290895,0.9584806,0.98975754,1.0002171,0.98975754,0.9797317,0.9797317,0.97598696,0.98843974,1.0131626,1.0077807,0.9875855,0.9854333,0.9838909,0.9892767,1.0017874,0.007895415,0.0059547615,0.005725847,0.011307036,0.015458447,0.0034582128,0.000989193,0.00026103746,-0.0007684327,-0.00067640207,0.47961587,0.25295585,0.072743505,0.35794464,0.58395314,0.0054981126,0.010115372,0.013629239,0.021865593,0.01816641,1.0002171,1.0002171,1.0002171,1.0280294,1.0305134,0.97473437,0.97473437,0.9718819,0.9718819,0.9718819,0.9901673,0.9874588,0.98681104,0.9958702,1.0146468,0.9832568,0.98143876,0.97945225,0.9814598,0.98465866,20.0,10.0,5.0,2.8888888,0.7222222,0.99147904,0.99147904,0.9923368,0.5007889,0.4795726,1.0,1.0,1.0,0.06666667,0.43333334,0.6,0.8,0.5,0.6666667,0.8333333,0.4,0.2,0.5,-0.6,-0.4,0.5236478,0.4796117,0.41826662,0.6686752,0.5557343,0.22916205,0.014202206,0.06079835,0.07269004,0.015061623,0.8,0.6,0.5,0.53333336,0.5833333,0.2,0.4,0.5,0.46666667,0.41666666,0.6,0.2,0.0,0.06666667,0.16666667,0.7639663,0.70288646,0.54986215,0.46220076,0.48547366,0.2360337,0.29711354,0.45013788,0.53779924,0.5145263,0.52793264,0.4057729,0.09972425,-0.075598456,-0.029052673,0.8150597,0.7367556,0.7060189,0.75372326,0.79435796,0.12506568,0.12513788,0.1305394,0.14916834,0.14723603,0.56478137,0.72948587,0.6804544,1.0081934,1.012365,0.7099943,0.69863456,0.56894666,0.52071065,0.5037236,0.29000568,0.3013654,0.4310533,0.47928932,0.49627638,0.41998863,0.3972692,0.13789335,0.041421346,0.0074472683,3348.326
2018-01-03,0.0063820546,0.010343227,0.6170274,0.0032281107,0.31209898,0.0007330615,0.07087358,0.0038870056,0.375802,0.9936584,1.0032077,0.99293,0.9813055,0.9813055,0.97846013,0.9805784,1.012285,1.0041196,0.9852324,0.98150855,0.9787928,0.9827648,0.99553925,0.011389046,0.00878284,0.007541729,0.010326839,0.015333583,0.007081771,0.002049577,0.0006197864,-0.00045437634,-0.0006506028,0.96660495,0.4991946,0.23637976,0.15003696,0.54909116,0.00060404924,0.009268342,0.015319214,0.023823665,0.023653556,1.0032077,1.0032077,1.0032077,1.021688,1.0241567,0.9687216,0.9687216,0.96588683,0.96588683,0.96588683,0.99506515,0.98405945,0.98136765,0.98972714,1.0083878,0.97719157,0.9753847,0.9734104,0.97540563,0.97858477,20.0,10.0,5.0,3.2222223,0.8055556,0.90698713,0.90698713,0.9140522,0.61133385,0.5854342,1.0,1.0,1.0,0.033333335,0.41666666,0.4,0.7,0.45,0.6333333,0.81666666,0.6,0.3,0.55,-0.6,-0.4,0.77906466,0.7400406,0.6384407,0.6765774,0.5480242,0.2972807,0.083063334,0.1241742,0.06531282,0.022470452,0.8,0.6,0.55,0.53333336,0.5833333,0.2,0.4,0.45,0.46666667,0.41666666,0.6,0.2,0.1,0.06666667,0.16666667,0.7546502,0.6906571,0.58118594,0.46466482,0.4923647,0.24534984,0.3093429,0.4188141,0.5353352,0.5076353,0.5093003,0.3813142,0.16237183,-0.070670396,-0.015270583,0.83778954,0.74309087,0.6691599,0.71563095,0.7541072,0.13703695,0.13805798,0.12696302,0.14579788,0.14250688,0.5402369,0.71640235,0.64209914,1.0010312,0.9967305,0.75689346,0.7334949,0.508064,0.5138378,0.51216066,0.24310651,0.26650512,0.49193603,0.48616222,0.48783937,0.513787,0.46698976,0.016127944,0.027675588,0.024321282,3369.1084
2018-01-04,0.004363751,0.008167014,0.5343141,0.0021110089,0.25847986,0.0016922544,0.20720601,0.0039449967,0.48304024,0.9956552,1.0021018,0.99397033,0.9675319,0.9675319,0.971024,0.9729022,1.0132185,1.0007601,0.98689497,0.97959334,0.9753482,0.9775052,0.99064493,0.011417277,0.011127599,0.0094828,0.008903325,0.015250178,0.007105958,0.002932549,0.000971043,-6.6602996e-05,-0.0006149743,0.9684121,0.63664764,0.36700487,0.004336953,0.49597976,-0.0011068608,0.007210183,0.015426889,0.02346055,0.027496804,1.0021018,1.0021018,1.0021018,1.0129111,1.0191348,0.96397156,0.96397156,0.96115065,0.96115065,0.96115065,0.9960772,0.99018586,0.9776905,0.984874,1.0034432,0.97616583,0.9726763,0.96863735,0.9706227,0.97378623,20.0,10.0,5.0,3.3333333,1.0833334,0.9448775,0.9448775,0.9486746,0.75056005,0.6700004,1.0,1.0,1.0,0.033333335,0.4,0.2,0.6,0.4,0.6,0.8,0.8,0.4,0.6,-0.56666666,-0.4,0.80445975,0.7809496,0.7309309,0.68011844,0.5480323,0.98368114,0.1365162,0.060786553,0.047187734,0.019068606,1.0,0.7,0.6,0.53333336,0.5833333,0.0,0.3,0.4,0.46666667,0.41666666,1.0,0.4,0.2,0.06666667,0.16666667,1.0,0.74775755,0.6119184,0.46157146,0.49860168,0.0,0.25224245,0.3880816,0.53842854,0.5013983,1.0,0.4955151,0.22383675,-0.07685709,-0.0027966495,0.9084366,0.80123925,0.70478076,0.7383593,0.7812316,0.14383411,0.15471202,0.14813524,0.14860529,0.14947057,0.58940864,0.6403763,0.61197084,1.0074791,0.9784234,0.676259,0.67689866,0.5938847,0.494519,0.508973,0.32374102,0.32310137,0.40611532,0.505481,0.49102697,0.35251796,0.3537973,0.18776937,-0.010961981,0.017946044,3385.7102
2018-01-05,0.0015608872,0.0064445445,0.24220288,0.0030472302,0.47283873,0.001836427,0.2849584,0.00035008398,0.054322533,0.9984415,1.0030425,0.99660796,0.9718832,0.9718832,0.97296655,0.9647097,0.9882563,0.9983342,0.9907609,0.9805523,0.9753759,0.976156,0.98890865,0.010082961,0.012927989,0.010899824,0.009679955,0.015242062,0.006089483,0.0038100728,0.001205742,0.00017602358,-0.0005796285,0.9118526,0.79618883,0.4282899,0.025626935,0.4410744,-0.00293988,0.0023023742,0.013169568,0.02129168,0.028190412,1.0030425,1.0030425,1.0030425,1.0030425,1.0173199,0.97081745,0.96225494,0.9594391,0.9594391,0.9594391,0.9985754,0.99430346,0.98103386,0.9831202,1.0016564,0.9847705,0.9709442,0.9672715,0.9688943,0.9720522,20.0,10.0,5.0,3.3333333,1.2222222,0.9055865,0.9254066,0.93022376,0.93022376,0.7007658,1.0,1.0,1.0,1.0,0.38333333,0.2,0.5,0.35,0.56666666,0.78333336,0.8,0.5,0.65,0.43333334,-0.4,0.90269244,0.8147752,0.78409225,0.70124525,0.5544531,0.85962737,0.13989413,-0.011025457,0.05975056,0.018346261,1.0,0.7,0.65,0.56666666,0.6,0.0,0.3,0.35,0.43333334,0.4,1.0,0.4,0.3,0.13333334,0.2,1.0,0.73931247,0.6518962,0.5390663,0.5030571,0.0,0.26068756,0.34810385,0.4609337,0.49694288,1.0,0.4786249,0.3037923,0.07813262,0.006114219,0.91778344,0.81157154,0.7035829,0.7168562,0.762854,0.14329377,0.15950043,0.15918976,0.14363286,0.1484881,0.7562854,0.66484475,0.64334095,0.723094,0.9682973,0.65833014,0.679719,0.6438491,0.4981856,0.5182237,0.3416699,0.32028103,0.3561509,0.50181437,0.4817763,0.31666026,0.3594379,0.28769818,-0.0036287613,0.036447424,3391.75
2018-01-08,0.0052857082,0.008306411,0.6363408,0.0009586231,0.115407616,0.0020620797,0.2482516,0.006389165,0.76918477,0.9947421,1.0009536,0.99269086,0.96999323,0.96999323,0.96702826,0.96495444,0.9836753,0.99444014,0.9916102,0.9787505,0.97205615,0.9716241,0.9838589,0.006812134,0.014573315,0.0126194,0.010760723,0.0152459005,0.004251345,0.0045674928,0.001539238,0.00044855432,-0.0005319104,0.9737026,0.90043104,0.52071744,0.1346632,0.37125352,-0.00011293765,0.0006957384,0.01332109,0.021871896,0.031832445,1.0009536,1.0009536,1.0009536,1.0009536,1.0120298,0.9720049,0.9572512,0.95444995,0.95444995,0.95444995,0.99583995,0.99338275,0.98328274,0.9780079,0.99719185,0.9869401,0.96589524,0.96224165,0.96385604,0.96699744,20.0,10.0,5.0,3.3333333,1.4166666,0.96705955,0.9781801,0.97949445,0.97949445,0.7910762,1.0,1.0,1.0,1.0,0.36666667,0.2,0.4,0.3,0.53333336,0.76666665,0.8,0.6,0.7,0.46666667,-0.4,0.8092996,0.8850866,0.82981735,0.7632221,0.57883847,0.8912897,0.078038685,0.008865452,0.07773153,0.028363205,1.0,0.8,0.65,0.56666666,0.6,0.0,0.2,0.35,0.43333334,0.4,1.0,0.6,0.3,0.13333334,0.2,1.0,0.77245325,0.65171164,0.5529454,0.51011145,0.0,0.22754674,0.34828836,0.44705465,0.48988852,1.0,0.5449065,0.30342326,0.10589069,0.020222943,0.90809023,0.7796485,0.65654767,0.657536,0.6950125,0.055134088,0.14633788,0.16396275,0.14472388,0.13925283,0.5991732,0.52969176,0.6292176,0.67760396,0.94461215,0.9364884,0.7770154,0.66967624,0.5666079,0.5341797,0.06351163,0.2229846,0.33032373,0.43339208,0.46582034,0.8729767,0.5540308,0.33935255,0.13321583,0.06835932,3409.4795
2018-01-09,0.0022865036,0.0040048216,0.57093763,0.000977104,0.24398188,0.0007412142,0.18508045,0.0020506138,0.5120362,0.9977187,1.0009749,0.9969792,0.9807921,0.9807921,0.9609131,0.97313803,0.97314805,0.98962206,0.9941679,0.98139197,0.97214067,0.97126114,0.98275805,0.0053392393,0.014855374,0.01419624,0.012028284,0.01536576,0.0033203028,0.0046850834,0.001991377,0.0006583464,-0.0004907454,0.9668,0.9117565,0.6886972,0.23216851,0.31110308,-0.000808534,-0.0024748645,0.008941245,0.019192861,0.03171897,1.0009749,1.0009749,1.0009749,1.0009749,1.0107194,0.9799025,0.9560118,0.95321417,0.95321417,0.95321417,0.9989642,0.9945506,0.98785233,0.9783401,0.9969634,0.99077016,0.9678599,0.9609958,0.96260804,0.96574545,20.0,10.0,5.0,3.3333333,1.4722222,0.95373684,0.97831833,0.9795883,0.9795883,0.8135916,1.0,1.0,1.0,1.0,0.35,0.2,0.3,0.25,0.5,0.75,0.8,0.7,0.75,0.5,-0.4,-0.06926701,0.8001178,0.83095855,0.75788933,0.58424073,0.6672944,0.2740647,0.029880561,0.08467808,0.0371651,1.0,0.9,0.65,0.6,0.6166667,0.0,0.1,0.35,0.4,0.38333333,1.0,0.8,0.3,0.2,0.23333333,1.0,0.84369755,0.6252741,0.5919544,0.5190534,0.0,0.15630247,0.37472585,0.4080456,0.48094657,1.0,0.68739504,0.2505483,0.1839088,0.038106836,1.1086886,0.9848383,0.8252701,0.81530744,0.8586606,0.08396957,0.1671353,0.20439637,0.18153344,0.17260031,0.5899777,0.60289717,0.6806666,0.70423186,0.9558977,0.44156307,0.59945446,0.5858114,0.52043915,0.50605124,0.55843693,0.40054554,0.41418862,0.47956085,0.49394876,-0.11687386,0.19890891,0.17162272,0.040878285,0.0121024605,3413.8997
2018-01-10,0.0022616228,0.0091887945,0.24612835,0.0024544117,0.26710922,0.00447276,0.48676243,0.004279971,0.46578157,0.9977435,1.0024489,0.9932808,0.98459136,0.98459136,0.9661849,0.95878804,0.974231,0.9854483,0.9949444,0.9824979,0.9719471,0.96986794,0.9807217,0.0044542477,0.015389383,0.0154069755,0.013244796,0.015523956,0.0027586874,0.004951232,0.0022417144,0.00089277624,-0.00044918392,0.95895064,0.9488457,0.7409584,0.35212463,0.25535446,-0.00046174924,-0.0047783884,0.0067566484,0.01718683,0.032529205,1.0024489,1.0024489,1.0024489,1.0024489,1.0083758,0.98347706,0.95379496,0.95100385,0.95100385,0.95100385,0.998145,0.9966478,0.9897961,0.9797326,0.99594235,0.99085516,0.96586055,0.96035534,0.96037596,0.96350604,20.0,10.0,5.0,3.3333333,1.5277778,0.87092054,0.9496675,0.95239824,0.95239824,0.8540086,1.0,1.0,1.0,1.0,0.33333334,0.2,0.2,0.2,0.46666667,0.73333335,0.8,0.8,0.8,0.53333336,-0.4,-0.058481216,0.78466666,0.83368236,0.7839286,0.6110456,0.46018404,0.30798745,-0.04128308,0.10748677,0.030058293,1.0,0.9,0.7,0.6,0.6333333,0.0,0.1,0.3,0.4,0.36666667,1.0,0.8,0.4,0.2,0.26666668,1.0,0.82798785,0.71201855,0.589075,0.52673507,0.0,0.17201218,0.28798142,0.41092497,0.47326493,1.0,0.65597564,0.42403713,0.17815009,0.053470157,1.0107986,0.93379235,0.7759836,0.7579503,0.7930314,0.077026404,0.13399565,0.19079559,0.17166127,0.1585009,0.63700116,0.6659692,0.7048812,0.70366436,0.94785607,0.47590232,0.64042956,0.6183112,0.5588242,0.5301913,0.5240977,0.35957044,0.38168877,0.44117582,0.46980867,-0.04819534,0.2808591,0.23662245,0.11764835,0.06038266,3421.8342
2018-01-11,0.002857493,0.006102613,0.46824086,0.00033316092,0.054593157,0.0029119595,0.47716597,0.0054362915,0.8908137,0.99715066,1.0003322,0.99424696,0.98842895,0.98842895,0.95633656,0.96429336,0.9744601,0.98728555,0.9962388,0.9858572,0.97273624,0.9697252,0.97992843,0.0038447662,0.01352501,0.01660162,0.01437524,0.015698917,0.0023222384,0.0042787963,0.002549285,0.0011312008,-0.0004026431,0.91203976,0.91744375,0.82528484,0.4799002,0.2006324,-0.00088330806,-0.0051117763,0.0030455734,0.013872391,0.031949516,1.0014215,1.0014215,1.0014215,1.0014215,1.0073423,0.9868335,0.9528174,0.95002913,0.95002913,0.95002913,0.9991801,0.99712193,0.99122745,0.98455155,0.99542767,0.994333,0.9751121,0.95937103,0.95939165,0.9625186,20.0,10.0,5.0,3.3333333,1.5277778,0.9025612,0.97075486,0.97234154,0.97234154,0.8718916,0.8,0.9,0.95,0.96666664,0.31666666,0.2,0.1,0.15,0.43333334,0.71666664,0.6,0.8,0.8,0.53333336,-0.4,-0.534704,0.5622986,0.81356263,0.7556377,0.61181563,0.72960484,0.83024985,0.013392738,0.10623135,0.0184357,1.0,1.0,0.7,0.6,0.6333333,0.0,0.0,0.3,0.4,0.36666667,1.0,1.0,0.4,0.2,0.26666668,1.0,1.0,0.69484824,0.58849776,0.52354133,0.0,0.0,0.30515176,0.4115022,0.47645867,1.0,1.0,0.3896965,0.17699556,0.04708265,1.1778481,1.1297544,0.9512855,0.9098933,0.95560235,0.13516887,0.15403238,0.21950409,0.20537247,0.19065435,0.8398458,0.7931373,0.7528978,0.7077709,0.9572135,0.3692842,0.52206373,0.58138835,0.49155813,0.505966,0.6307158,0.47793624,0.41861168,0.50844187,0.49403396,-0.2614316,0.04412752,0.16277666,-0.016883733,0.011932052,3425.345
2018-01-12,0.0014782294,0.00509469,0.29015103,0.0018935113,0.3716637,0.0017229491,0.33818528,0.0013076672,0.2566726,0.99852395,1.0018907,0.9968035,0.98915386,0.98915386,0.96134204,0.96019113,0.96740913,0.98286104,0.9973634,0.9886892,0.9737066,0.9697947,0.97918653,0.0023499443,0.011413409,0.017492248,0.015449911,0.015910245,0.001468899,0.0035367003,0.0027686923,0.0013229365,-0.00036092006,0.976807,0.88019145,0.8768516,0.56823474,0.15695247,-0.0003011618,-0.0046043377,-9.193956e-06,0.011022747,0.03146062,1.0018907,1.0018907,1.0018907,1.0018907,1.0062859,0.9870568,0.9602878,0.9490329,0.9490329,0.9490329,0.99916106,0.9981323,0.99458224,0.98774475,0.99480087,0.99535567,0.9813386,0.958365,0.9583856,0.9615092,20.0,10.0,5.0,3.3333333,1.5555556,0.8725413,0.95455325,0.9642302,0.9642302,0.8902074,1.0,1.0,1.0,1.0,0.3,0.2,0.1,0.1,0.4,0.7,0.8,0.9,0.9,0.6,-0.4,-0.81039524,0.38899854,0.78020453,0.7360605,0.6105375,0.6926334,0.7950244,0.032256085,0.06701436,0.01832626,1.0,1.0,0.75,0.6333333,0.65,0.0,0.0,0.25,0.36666667,0.35,1.0,1.0,0.5,0.26666668,0.3,1.0,1.0,0.7224247,0.61709446,0.53204495,0.0,0.0,0.27757528,0.38290554,0.46795502,1.0,1.0,0.44484943,0.23418891,0.064089924,1.1313397,1.1273719,0.96528566,0.9119248,0.9557153,0.1513003,0.15448175,0.21080725,0.20574263,0.19038117,0.9606053,0.92025054,0.7742115,0.7447365,0.96905595,0.3387497,0.4972738,0.5720409,0.5154591,0.5056116,0.6612503,0.5027262,0.42795908,0.4845409,0.49438843,-0.32250062,-0.0054523856,0.14408186,0.030918181,0.011223145,3428.9407
2018-01-15,-0.005384272,0.011720413,-0.45939264,0.0039516604,0.3371605,0.0023844815,0.20344687,-0.006951451,-0.59310627,1.0054134,1.0093864,0.9976026,0.9997042,0.9997042,0.96970636,0.9576744,0.972769,0.99066406,1.0028187,0.99706787,0.98109114,0.9759494,0.98464,0.0022688718,0.0077232015,0.017434765,0.016178353,0.01610251,8.318205e-06,0.0022588675,0.0027477082,0.0014754416,-0.00032696337,3.3603097e-05,0.78414834,0.86931485,0.64458054,0.12575084,-0.002835377,-0.007232744,-0.0071943523,0.0026566656,0.025005426,1.0093864,1.0093864,1.0093864,1.0093864,1.0117304,0.99658525,0.97171736,0.9541676,0.9541676,0.9541676,1.004567,1.0035326,1.0002,0.9955454,1.0001832,1.0008003,0.99176115,0.9660285,0.9635709,0.96671146,4.0,6.0,4.0,2.8888888,1.3055556,0.26675242,0.75081766,0.8300133,0.8300133,0.7962147,1.0,1.0,1.0,1.0,0.28333333,0.4,0.1,0.05,0.36666667,0.68333334,0.6,0.9,0.95,0.6333333,-0.4,-0.792966,-0.317395,0.78214383,0.75993633,0.63552064,-0.73337626,0.25776285,-0.06704118,-0.008159128,6.403881e-05,0.8,0.9,0.75,0.6,0.6333333,0.2,0.1,0.25,0.4,0.36666667,0.6,0.8,0.5,0.2,0.26666668,0.5133038,0.86840487,0.74138856,0.59376884,0.5171747,0.4866962,0.13159512,0.25861144,0.40623116,0.48282528,0.026607595,0.73680973,0.48277715,0.18753769,0.034349434,0.84519756,0.8847769,0.74598026,0.6974998,0.72455007,0.106931634,0.09067727,0.16484314,0.16382128,0.14566128,0.96771395,0.8400796,0.77229106,0.69284934,0.9501241,0.4866598,0.6711879,0.6206072,0.5766388,0.5370326,0.51334023,0.32881215,0.3793928,0.42336118,0.4629674,-0.026680427,0.3423757,0.24121441,0.15327765,0.07406523,3410.4883
